"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Kisii","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","2.16855294","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisii","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","2.23746572","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisii","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.46106321","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisii","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.82167714","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisumu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.39277693","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisumu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.52972552","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisumu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.65479233","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kitui","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.28","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kitui","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.37","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kitui","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.15","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kitui","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.14578847","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kwale","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.54176106","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kwale","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.64272836","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kwale","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.60246222","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kwale","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.95810344","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kwale","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.00857183","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Laikipia","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.77525732","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Laikipia","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.53158292","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Laikipia","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.38456602","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Laikipia","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.49559062","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Lamu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.81369676","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Lamu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.808","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Lamu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.28370986","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Lamu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.49619634","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Lamu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.62265283","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Machakos","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.73417113","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Machakos","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.35","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Machakos","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.41","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Machakos","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.16857394","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Makueni","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.78715761","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Makueni","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.42598354","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Makueni","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.58392712","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Makueni","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.62461816","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Mandera","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.31399869","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Mandera","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.58117583","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
