"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.70940170","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.87678571","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.4","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.18843672","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.28644501","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.11336021","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kirinyaga","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.94594594","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kirinyaga","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.16508108","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kirinyaga","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.83309941","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisii","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.69633758","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisii","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.79433962","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisii","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.83760683","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisumu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.95875","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisumu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.72","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisumu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.25330232","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kitui","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","2.01747669","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kitui","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","2.38691065","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kitui","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.29065083","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kitui","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.30846334","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kitui","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.54286233","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kwale","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","3.89164086","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kwale","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.8","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kwale","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.42909470","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kwale","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.45","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Laikipia","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.04922279","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Laikipia","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.89473684","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Lamu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","2.078125","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Lamu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.125","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Lamu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.01052631","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Lamu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.41666666","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Machakos","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","3.05567568","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Machakos","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","2.12863722","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Machakos","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.29319993","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Machakos","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.86682994","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Machakos","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.36840176","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Makueni","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.05605280","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Makueni","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.04194391","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Makueni","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.62684504","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Makueni","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.75507781","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Mandera","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.65282392","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Mandera","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.70886075","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Mandera","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.76951672","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Marsabit","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.15797101","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Marsabit","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.03947368","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Marsabit","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.32075471","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Meru","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.82749359","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Meru","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.83079766","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Meru","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","3.15132605","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Migori","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.12644898","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Migori","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.42514879","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Migori","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.80756562","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Migori","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.77910210","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Mombasa","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.08","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Mombasa","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.18","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Murang'a","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.12141138","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Murang'a","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.53687564","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Murang'a","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.84532712","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Murang'a","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.63033335","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Murang'a","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.70291071","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nairobi","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.8","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nairobi","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.07004519","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nakuru","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","2.35561414","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nakuru","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.47780408","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nakuru","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.53214285","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nakuru","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.25497916","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nandi","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.58761682","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nandi","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","2.16614285","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nandi","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.75748031","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nandi","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.64410810","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Narok","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.57630661","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Narok","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.11063218","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Narok","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.60908479","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyamira","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.16410256","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyamira","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.84711111","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyamira","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.80377358","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nyandarua","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.045","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Samburu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","2.77777777","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Samburu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.36","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Siaya","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.04183830","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Siaya","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.07327466","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Siaya","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.97226701","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Siaya","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.03687768","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Taita Taveta","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.60650410","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Taita Taveta","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.68242738","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Taita Taveta","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.62065789","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Taita Taveta","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.59919638","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tharaka-Nithi","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.58976537","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tharaka-Nithi","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.51161042","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tharaka-Nithi","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.64500444","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","2.30944625","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.34494773","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.39853479","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.99619047","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Turkana","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.10890003","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Turkana","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.92","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Turkana","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.47751938","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Turkana","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.18050117","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Turkana","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.81577534","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","0.72","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","2.35838926","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","1.03125","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Uasin Gishu","Crops Productivity","Crops Primary","Crop Yield","Sorghum (Yield)","2.43820224","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
