"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Meru","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","6.75298570","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Meru","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","12.9224241","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Meru","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","9.05120126","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Mombasa","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Murang'a","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","3.42548163","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Murang'a","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","3.43397785","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Murang'a","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","5.18048907","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Murang'a","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","3.74420704","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Murang'a","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","3.48544437","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nairobi","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","7.06570048","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nairobi","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","7.1875","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nairobi","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","7.00854700","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nairobi","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","5.23809523","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nairobi","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","5.27450980","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nakuru","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","8.43535527","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nakuru","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","13.1808959","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nakuru","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","10.4805014","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nakuru","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","8.17814726","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Nandi","Crops Productivity","Crops Primary","Crop Yield","Irish Potatoes (Yield)","12.5338894","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
