"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Kajiado","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.55172413","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kakamega","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.8","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kakamega","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.43","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kakamega","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.11956521","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kakamega","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.37227272","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kakamega","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.74166666","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.77636363","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","1","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.875","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.5","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.49339679","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.33","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.20519770","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.26236639","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kirinyaga","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.39074733","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kirinyaga","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.26","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kirinyaga","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.17956790","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisumu","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.49098013","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kisumu","Crops Productivity","Crops Primary","Crop Yield","Green Grams (Yield)","0.64","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
