Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01530","Sweet potatoes","2022","2022","1000 USD","179315","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01530","Sweet potatoes","2023","2023","1000 USD","151167","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01530","Sweet potatoes","2022","2022","1000 USD","206226","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01530","Sweet potatoes","2023","2023","1000 USD","230784","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01620","Tea leaves","2022","2022","1000 Int$","4666021","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01620","Tea leaves","2023","2023","1000 Int$","4973977","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01620","Tea leaves","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01620","Tea leaves","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01620","Tea leaves","2022","2022","1000 SLC","592076779","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01620","Tea leaves","2023","2023","1000 SLC","631153553","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01620","Tea leaves","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01620","Tea leaves","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01620","Tea leaves","2022","2022","1000 USD","6146667","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01620","Tea leaves","2023","2023","1000 USD","6552344","E","Estimated value"
